Archive,Name,Months,Categories,Accounts,Planned Amount,Actual Amount,Variance,Type,Due Date,Group,Tag,🏓 Transactions,Year,Quarter,Progress,Projects
No,Kigali trip DSA,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Bonuses (https://app.notion.com/p/Bonuses-3917e487e9d480f4bb08ffb257859f59?pvs=21),UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),50000,99180,-49180,One-Off,"July 16, 2026",Income,Limbe,Paid DSA for Kigali trip (https://app.notion.com/p/Paid-DSA-for-Kigali-trip-3a37e487e9d4808d8e9bee1d4867ef8f?pvs=21),https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,-98.36,
No,AIMS refund,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Loan Refund (https://app.notion.com/p/Loan-Refund-3947e487e9d480a7a14adefd52cb16e4?pvs=21),Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),30000,30000,0,One-Off,"July 9, 2026",Income,Limbe,AIMS hotel expense refund (https://app.notion.com/p/AIMS-hotel-expense-refund-39a7e487e9d480708667d1507c49fa4d?pvs=21),https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,0,
No,Self Care,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),100000,99400,600,Recurring,"July 1, 2026",Expense,Both,"Transport Lbe-Dla (https://app.notion.com/p/Transport-Lbe-Dla-39a7e487e9d480f2b3b5fe8e01c49bab?pvs=21), New traveling box purchase (https://app.notion.com/p/New-traveling-box-purchase-39a7e487e9d480b0a550f041326dfa32?pvs=21), Biscuit for kids (https://app.notion.com/p/Biscuit-for-kids-39a7e487e9d480a89f1ff5a71ef301b2?pvs=21), Snugfeet gift (https://app.notion.com/p/Snugfeet-gift-39a7e487e9d480359232e4c2ad3fa5fa?pvs=21), Beer for kigali (https://app.notion.com/p/Beer-for-kigali-39a7e487e9d4806fa507f619573c0e13?pvs=21), Limbe gas refill (https://app.notion.com/p/Limbe-gas-refill-39a7e487e9d480f1aa72db17ad384243?pvs=21), Bike runz to chantier (https://app.notion.com/p/Bike-runz-to-chantier-39a7e487e9d4807d8b2ce78f5a9026c5?pvs=21), Daily commute this week (https://app.notion.com/p/Daily-commute-this-week-39a7e487e9d4803fa344f82a55fb0fcc?pvs=21), Milk and overtine refill (https://app.notion.com/p/Milk-and-overtine-refill-39a7e487e9d480a7a781e7156d9a69c3?pvs=21), Mobile data (https://app.notion.com/p/Mobile-data-39a7e487e9d48067b47af17c08a2c92c?pvs=21), Vimto (https://app.notion.com/p/Vimto-39a7e487e9d4801aa869f137481de496?pvs=21), Unrecorded  (https://app.notion.com/p/Unrecorded-39a7e487e9d480d3b55bdbcc8b8cca55?pvs=21), Bike charge to charmel (https://app.notion.com/p/Bike-charge-to-charmel-39c7e487e9d4805389efd50963b4abff?pvs=21), New pair of stand smith shoes (https://app.notion.com/p/New-pair-of-stand-smith-shoes-39c7e487e9d4806fb9a7f557a4328fa9?pvs=21), Yango to airport (https://app.notion.com/p/Yango-to-airport-39c7e487e9d48000af1ec4f67e7e8d7b?pvs=21)",https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,0.6,
No,Plumber,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Housing Dla (https://app.notion.com/p/Housing-Dla-39a7e487e9d480d08e8ad1d5cfeb1be2?pvs=21),UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),10000,0,10000,One-Off,"July 12, 2026",Expense,Douala,,https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,100,
No,"Ceptic tank contributions ",July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Housing Dla (https://app.notion.com/p/Housing-Dla-39a7e487e9d480d08e8ad1d5cfeb1be2?pvs=21),UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),10000,0,10000,One-Off,"July 12, 2026",Expense,Douala,,https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,100,
No,Cable bill Douala,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Subscriptions (https://app.notion.com/p/Subscriptions-3917e487e9d4800cb6dfdce6c43477dd?pvs=21),UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),2000,0,2000,Recurring,"July 12, 2026",Expense,Douala,,https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,100,
No,Monthly Rents - Dla,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Rents (https://app.notion.com/p/Rents-3917e487e9d480a48cece330be61a06c?pvs=21),UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),170000,0,170000,Recurring,"July 12, 2026",Expense,Douala,,https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,100,
No,SOCADEL - Dla,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),,UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),20000,0,20000,Recurring,"July 12, 2026",,Douala,,https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,100,
No,Wife care,July 2026 (https://app.notion.com/p/July-2026-3917e487e9d480869968cb06b4db337b?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),UBA (https://app.notion.com/p/UBA-3917e487e9d4805da0e7ced576069f9f?pvs=21),50000,670000,-620000,Time Bound,"July 12, 2026",Expense,Both,"New Surface Pro 10 (https://app.notion.com/p/New-Surface-Pro-10-39c7e487e9d4801c9017e65ddb7f5620?pvs=21), Cash for Manou (https://app.notion.com/p/Cash-for-Manou-39c7e487e9d480f28258e09237409115?pvs=21)",https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,-1240,
No,Njangi - Blondel - 16/08,August 2026 (https://app.notion.com/p/August-2026-3917e487e9d4800eac1bc482a9895cb6?pvs=21),Njangi (https://app.notion.com/p/Njangi-3917e487e9d480cbb820dc783ca8f840?pvs=21),Orange Money (https://app.notion.com/p/Orange-Money-3917e487e9d48068b484d670574025b8?pvs=21),102000,0,102000,Recurring,"July 16, 2026",Savings,Both,,https://app.notion.com/3917e487e9d480c49e72f1e6ea4e5883,https://app.notion.com/3917e487e9d480758373e7dcbf0bb101,100,
