Name,Group,Transaction Type,Notes,Transactions,📍 Budget Line Items,Average Expected Spend,Av. Spend
Airtime,Recurring,Expense,,,,,
Allowances,,Income,,,,,
Allowances,Recurring,Expense,,"Transport Lbe-Dla (https://app.notion.com/p/Transport-Lbe-Dla-39a7e487e9d480f2b3b5fe8e01c49bab?pvs=21), New traveling box purchase (https://app.notion.com/p/New-traveling-box-purchase-39a7e487e9d480b0a550f041326dfa32?pvs=21), Biscuit for kids (https://app.notion.com/p/Biscuit-for-kids-39a7e487e9d480a89f1ff5a71ef301b2?pvs=21), Snugfeet gift (https://app.notion.com/p/Snugfeet-gift-39a7e487e9d480359232e4c2ad3fa5fa?pvs=21), Beer for kigali (https://app.notion.com/p/Beer-for-kigali-39a7e487e9d4806fa507f619573c0e13?pvs=21), Limbe gas refill (https://app.notion.com/p/Limbe-gas-refill-39a7e487e9d480f1aa72db17ad384243?pvs=21), Bike runz to chantier (https://app.notion.com/p/Bike-runz-to-chantier-39a7e487e9d4807d8b2ce78f5a9026c5?pvs=21), Daily commute this week (https://app.notion.com/p/Daily-commute-this-week-39a7e487e9d4803fa344f82a55fb0fcc?pvs=21), Milk and overtine refill (https://app.notion.com/p/Milk-and-overtine-refill-39a7e487e9d480a7a781e7156d9a69c3?pvs=21), Vimto (https://app.notion.com/p/Vimto-39a7e487e9d4801aa869f137481de496?pvs=21), Bike charge to charmel (https://app.notion.com/p/Bike-charge-to-charmel-39c7e487e9d4805389efd50963b4abff?pvs=21), New pair of stand smith shoes (https://app.notion.com/p/New-pair-of-stand-smith-shoes-39c7e487e9d4806fb9a7f557a4328fa9?pvs=21), New Surface Pro 10 (https://app.notion.com/p/New-Surface-Pro-10-39c7e487e9d4801c9017e65ddb7f5620?pvs=21), Yango to airport (https://app.notion.com/p/Yango-to-airport-39c7e487e9d48000af1ec4f67e7e8d7b?pvs=21), Cash for Manou (https://app.notion.com/p/Cash-for-Manou-39c7e487e9d480f28258e09237409115?pvs=21)","Wife care (https://app.notion.com/p/Wife-care-39a7e487e9d480a985bee714a1c3a93f?pvs=21), Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21)",75000,384700
Blvrd,Recurring,Income,Income made from logistics business,,,,
Bonuses,Recurring,Income,Quarterly work bonuses for communications,"AIMS hotel expense refund (https://app.notion.com/p/AIMS-hotel-expense-refund-39a7e487e9d480708667d1507c49fa4d?pvs=21), Paid DSA for Kigali trip (https://app.notion.com/p/Paid-DSA-for-Kigali-trip-3a37e487e9d4808d8e9bee1d4867ef8f?pvs=21)",Kigali trip DSA (https://app.notion.com/p/Kigali-trip-DSA-39a7e487e9d48066ad5adbc7d69a8fa8?pvs=21),50000,99180
Car Maintenance,Recurring,Expense,,,,,
Church,Recurring,Expense,Money spent on church related activities like offertory or contributions,,,,
Culture Volt,Recurring,Expense,"This is money used to support or contribute to extended family projects and emergencies ",,,,
DSA,Recurring,Income,Travel allowances from work trips,,,,
Emergency Fund,,Savings,,,,,
Fuel,Recurring,Expense,,,,,
General Savings,,Savings,,,,,
Groceries,Recurring,Expense,,,,,
Housing Dla,One-Off,Expense,Expenses related to running the house in Dla. Not necessarily recurring but could come up multiple times ie house repairs or furniture etc,,"Ceptic tank contributions  (https://app.notion.com/p/Ceptic-tank-contributions-39a7e487e9d4800bb147c2b352605ab6?pvs=21), Plumber (https://app.notion.com/p/Plumber-39a7e487e9d480c2a3dbcef11fcf390c?pvs=21)",10000,0
Investment,,Savings,,,,,
Leisure fund,,Savings,,,,,
Loan Refund,One-Off,Income,Money coming back from loans,,AIMS refund (https://app.notion.com/p/AIMS-refund-39a7e487e9d48035bac5d101674c5c6d?pvs=21),30000,30000
Loans,,Expense,,Cresco (https://app.notion.com/p/Cresco-39c7e487e9d480e0af45d36074e5cb47?pvs=21),Credit scholair (https://app.notion.com/p/Credit-scholair-39c7e487e9d480a5beb2c59b554c5453?pvs=21),2000000,2070000
Loomun,Recurring,Income,Income made from events business,,,,
MTN MoMO to Orange Money,,Transfer,,,,,
MTN MoMO to SGC,,Transfer,,,,,
MTN MoMO to UBA,,Transfer,,,,,
