Name,Description,Areas,Department,"Start / End Date ",Status,"Progress "
School Resumption,"Complete all task related to school resumption and ensure fluid processes of onboarding for coop students. ",Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"July 20, 2026 → August 31, 2026",In progress,0.56
Email Cleanout,,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"July 20, 2026 → July 25, 2026",Not started,0.25
Manage 2026 internships,"Ensure all internships have successfully started and are progressing smoothly. ",Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,"July 20, 2026 → February 26, 2027",In progress,0.47
Organize AIMS Comms,Restructure the communications department and make work processes fluid.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Comms,"July 27, 2026 → August 30, 2026",Not started,0.5
Library Signage,Create signage for the library,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Library Management,"July 27, 2026 → August 30, 2026",Not started,0
Room Allocations,"Create and manage room allocations for incoming cohort of students. ",Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"July 28, 2026 → August 20, 2026",Not started,0
Internship benchmark survey,"Conduct benchmark survey for cooperative masters students on internship. ",Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,"August 17, 2026 → August 22, 2026",Not started,0
Orientation and onboarding 2026,Provide admin support to all orientation activities as well as onboard the cooperative masters students.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"August 17, 2026 → September 12, 2026",Not started,0
Alumni meetup 2026,Plan and host the 2026 alumni  reunion event.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Alumni Engagement,"August 24, 2026 → January 30, 2027",Not started,0
Alumni student meetups,Plan a series of alumni student meetups across the year including fireside chats and in-person meetups.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Alumni Engagement,"August 24, 2026 → May 4, 2027",Not started,0
Manage Sendoffs,Plan and coordinate send offs for lecturers visiting the center,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),AD Support,"August 24, 2026 → April 30, 2027",Not started,0
Professional Development,Coordinate professional development training for students.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,"August 24, 2026 → February 27, 2027",Not started,0
Headshots for students,"Plan and take headshots for students as well as create the photo headshots for the students to be put in lecturers rooms, offices and class room. Name tags as well.",Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"August 24, 2026 → September 12, 2026",Not started,0
Process Equivalence 2026 Intake,Work with AD to coordinate process of equivalence for the international students.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,"August 24, 2026 → October 2, 2026",Not started,0
Entrepreneurship training,Support the teaching of the entrepreneurship skills course,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,"August 25, 2026 → September 12, 2026",Not started,0
Create and host the AIMS gender symposium,Create and host the first edition of the AIMS gender symposium.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"September 1, 2026 → May 29, 2027",Not started,0
Create Profiles for students,"Create recruitment profiles for cooperative masters students to use for internships in the next cycle. ",Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,"September 1, 2026 → September 30, 2026",Not started,0
"Internship campaign for 2027 ",Find placements for cooperative masters students for the 2027 cycle of internships.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,"September 30, 2026 → May 28, 2027",Not started,0
Pre-intership bootcamp,Plan and host the preinternship bootcamp in partnership with a known business school international or local.,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,"November 2, 2026 → July 31, 2027",Not started,0
