Name,All Tasks,Areas,Department,Description,"Progress ","Resources ","Start / End Date ",Status,Task Remaining,Task Remaining Displayed,"Tasks  "
Manage 2026 internships,17,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Cooperative Ed Management,"Ensure all internships have successfully started and are progressing smoothly. ",0.47,,"July 20, 2026 → February 26, 2027",In progress,9,Task Remaining: 9,"Follow up on MRCG internships (https://app.notion.com/p/Follow-up-on-MRCG-internships-3a37e487e9d480b8af07c06285080d03?pvs=21), Final project for Ouappi (https://app.notion.com/p/Final-project-for-Ouappi-3a37e487e9d4807ca9bdd9e6f2d2c4f5?pvs=21), Share budget for RIC students (https://app.notion.com/p/Share-budget-for-RIC-students-3a37e487e9d480dabc01f77e2e9bfd70?pvs=21), Baseline survey tools for internships (https://app.notion.com/p/Baseline-survey-tools-for-internships-3a37e487e9d4802f892cf2a03c8680e0?pvs=21), Decide on internship host for Bibiane (https://app.notion.com/p/Decide-on-internship-host-for-Bibiane-3aa7e487e9d4800a89b8e9a13fe9b4fa?pvs=21), Manage Payments for CPC interns (https://app.notion.com/p/Manage-Payments-for-CPC-interns-3aa7e487e9d480208a55dd3edc515d01?pvs=21), Push payment for international students (https://app.notion.com/p/Push-payment-for-international-students-3aa7e487e9d480b9ac80ec1c831ffe1b?pvs=21), Pay bootcamp trainers (https://app.notion.com/p/Pay-bootcamp-trainers-3aa7e487e9d48069abf5ee3336a1880b?pvs=21), Finalize internship contracts (https://app.notion.com/p/Finalize-internship-contracts-3aa7e487e9d480cf8f05e0b696a22c2f?pvs=21), Create mental health support plan for interns (https://app.notion.com/p/Create-mental-health-support-plan-for-interns-3aa7e487e9d4809fb8a1f31592de6dbe?pvs=21), Conclude internship financing for Aladeen (https://app.notion.com/p/Conclude-internship-financing-for-Aladeen-3aa7e487e9d48033bd99e0de40f41e5c?pvs=21), Share mathepi internship status report with RIC and AD (https://app.notion.com/p/Share-mathepi-internship-status-report-with-RIC-and-AD-3aa7e487e9d48086a488c86237e8578e?pvs=21), Speak with Whistler about RIC payments (https://app.notion.com/p/Speak-with-Whistler-about-RIC-payments-3aa7e487e9d4804d8edefef615013de6?pvs=21), Automate reporting (https://app.notion.com/p/Automate-reporting-3c07e487e9d4809cadaaea9b4da37539?pvs=21), Prepare midterm evaluation (https://app.notion.com/p/Prepare-midterm-evaluation-3c07e487e9d480a4b0dce08e12904ff1?pvs=21), Conduct midterm evaluation (https://app.notion.com/p/Conduct-midterm-evaluation-3c07e487e9d4801187d6d89a34343389?pvs=21), Share consent forms (https://app.notion.com/p/Share-consent-forms-3c07e487e9d48088a6f2f951d402f3cc?pvs=21)"
Email Cleanout,4,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,,0.25,,"July 20, 2026 → July 25, 2026",Not started,3,Task Remaining: 3,"Work with Larissa to prepare review (https://app.notion.com/p/Work-with-Larissa-to-prepare-review-3a37e487e9d480d79d32cc52ac41f42a?pvs=21), Email DSN to close out internship conversations  (https://app.notion.com/p/Email-DSN-to-close-out-internship-conversations-3a37e487e9d480cb89caf0781bcf487c?pvs=21), Send ADfG concept note to Joseph (https://app.notion.com/p/Send-ADfG-concept-note-to-Joseph-3aa7e487e9d48049a720de10c6568bc6?pvs=21), Scanned Diploma’s for Chad (https://app.notion.com/p/Scanned-Diploma-s-for-Chad-3ac7e487e9d4800f9401d3e60e2b4aa1?pvs=21)"
School Resumption,9,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"Complete all task related to school resumption and ensure fluid processes of onboarding for coop students. ",0.56,Marco Memorial booklet pictures in email from Prof Mama (https://app.notion.com/p/Marco-Memorial-booklet-pictures-in-email-from-Prof-Mama-3a87e487e9d48021a0f1c63aa1956919?pvs=21),"July 20, 2026 → August 31, 2026",In progress,4,Task Remaining: 4,"Review welcome guide (https://app.notion.com/p/Review-welcome-guide-3a37e487e9d48029a020e65515bbcad1?pvs=21), Write coop content for student guide (https://app.notion.com/p/Write-coop-content-for-student-guide-3a87e487e9d4800392f5dadc3d50e90f?pvs=21), Follow up on UBA meeting (https://app.notion.com/p/Follow-up-on-UBA-meeting-3a97e487e9d48005b3a7d96adb7ced01?pvs=21), Confirm DDQIC Event with AD and Edwin (https://app.notion.com/p/Confirm-DDQIC-Event-with-AD-and-Edwin-3a97e487e9d480eb8767ce356f41956c?pvs=21), Create gantt chart for AD (https://app.notion.com/p/Create-gantt-chart-for-AD-3aa7e487e9d4809c833dd2c03d02fd2c?pvs=21), Prepare Contract Renewal for Larissa (https://app.notion.com/p/Prepare-Contract-Renewal-for-Larissa-3aa7e487e9d480fba421e473fc194d6d?pvs=21), Share MathEpi partner database (https://app.notion.com/p/Share-MathEpi-partner-database-3aa7e487e9d4801d86c8eceea86f5988?pvs=21), Students Guide to Cooperative Education (https://app.notion.com/p/Students-Guide-to-Cooperative-Education-3ab7e487e9d480728240d2e2dd4357ce?pvs=21), Get DDQIC approval from CP (https://app.notion.com/p/Get-DDQIC-approval-from-CP-3ac7e487e9d480f9be97dda228cd35a6?pvs=21)"
Library Signage,2,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Library Management,Create signage for the library,0,,"July 27, 2026 → August 30, 2026",Not started,2,Task Remaining: 2,"Marco library signage (https://app.notion.com/p/Marco-library-signage-3a87e487e9d48079baa9dbbb7039dbe7?pvs=21), Crop 2020 grad picture (https://app.notion.com/p/Crop-2020-grad-picture-3aa7e487e9d4809d8af2e1a349663d4d?pvs=21)"
Organize AIMS Comms,2,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Comms,Restructure the communications department and make work processes fluid.,0.5,,"July 27, 2026 → August 30, 2026",Not started,1,Task Remaining: 1,"Review and publish Kassel MoU Article (https://app.notion.com/p/Review-and-publish-Kassel-MoU-Article-3aa7e487e9d480ceba3eea45ca86b9a3?pvs=21), Review all resumption documents (https://app.notion.com/p/Review-all-resumption-documents-3aa7e487e9d4803a9763d42b756440e0?pvs=21)"
RoadHome,0,Personal (https://app.notion.com/p/Personal-3b67e487e9d483e981858191b258cd45?pvs=21),Faith,"Rebuild foundations of your faith. ",0,,"December 31, 2026",In progress,0,Task Remaining: 0,
Process Equivalence 2026 Intake,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Student Development,Work with AD to coordinate process of equivalence for the international students.,0,,"August 24, 2026 → October 2, 2026",Not started,0,Task Remaining: 0,
Room Allocations,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"Create and manage room allocations for incoming cohort of students. ",0,,"July 28, 2026 → August 20, 2026",Not started,0,Task Remaining: 0,
Orientation and onboarding 2026,2,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,Provide admin support to all orientation activities as well as onboard the cooperative masters students.,0,,"August 17, 2026 → September 12, 2026",Not started,2,Task Remaining: 2,"Coordinate entry survey for new students (https://app.notion.com/p/Coordinate-entry-survey-for-new-students-3c07e487e9d480338696e53721c84046?pvs=21), Entry Survey  (https://app.notion.com/p/Entry-Survey-3c07e487e9d4802c9acbfdd5e0e11861?pvs=21)"
Headshots for students,0,Work (https://app.notion.com/p/Work-0727e487e9d482abb7da81b8f0cd8b2f?pvs=21),Work Admin,"Plan and take headshots for students as well as create the photo headshots for the students to be put in lecturers rooms, offices and class room. Name tags as well.",0,,"August 24, 2026 → September 12, 2026",Not started,0,Task Remaining: 0,
