Name,"Due Date ","Priority ",Status
Manage Payments for CPC interns,"July 29, 2026",High,Pending
Marco library signage,"July 30, 2026",High,Pending
Scanned Diploma’s for Chad,"July 31, 2026",Medium,Pending
Students Guide to Cooperative Education,"July 31, 2026",Medium,Pending
Finalize internship contracts,"July 31, 2026",High,Pending
Send ADfG concept note to Joseph,"July 31, 2026",Medium,Pending
Get DDQIC approval from CP,"August 20, 2026",High,Pending
Share mathepi internship status report with RIC and AD,"August 21, 2026",High,Pending
Baseline survey tools for internships,"August 21, 2026",High,Scheduled
Automate reporting,"August 22, 2026",High,Pending
Review and publish Kassel MoU Article,"August 25, 2026",Medium,Pending
Share MathEpi partner database,"August 25, 2026",High,Pending
Crop 2020 grad picture,"August 25, 2026",High,Pending
Pay bootcamp trainers,"August 25, 2026",High,Pending
"Email DSN to close out internship conversations ","August 25, 2026",Medium,Scheduled
Fireside 1-Onboarding,"August 26, 2026",High,Scheduled
"Entry Survey ","August 26, 2026 2:30 PM (GMT+1)",High,Scheduled
Create mental health support plan for interns,"August 28, 2026",Medium,Pending
Follow up on UBA meeting,"September 15, 2026",Medium,Pending
Prepare midterm evaluation,"October 15, 2026",High,Pending
Conduct midterm evaluation,"October 30, 2026",High,Pending
Fireside 3,,,Pending
Fireside 2,,,Pending
Coordinate entry survey for new students,,High,Pending
