Description,Date,Amount,Accounts,Categories,Budget Line Items,Type,Direction,Week,Day,Month,Year,Quarters,Cashflow,Portion,Tasks
Transport Lbe-Dla,"July 10, 2026",6000,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-6000,6,
New traveling box purchase,"July 10, 2026",15000,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-15000,15,
Biscuit for kids,"July 10, 2026",3500,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-3500,3.5,
Snugfeet gift,"July 10, 2026",12000,MTN MoMO (https://app.notion.com/p/MTN-MoMO-3917e487e9d4808297bde4ea1b7d3d3c?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-12000,12,
Beer for kigali,"July 10, 2026",12000,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-12000,12,
Limbe gas refill,"July 8, 2026",6500,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Wednesday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-6500,6.5,
Bike runz to chantier,"July 10, 2026",2500,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-2500,2.5,
AIMS hotel expense refund,"July 9, 2026",30000,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Bonuses (https://app.notion.com/p/Bonuses-3917e487e9d480f4bb08ffb257859f59?pvs=21),AIMS refund (https://app.notion.com/p/AIMS-refund-39a7e487e9d48035bac5d101674c5c6d?pvs=21),Income,Inflow,28,Thursday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,30000,100,Untitled (https://app.notion.com/p/39c7e487e9d48190bec8e3f87376e32a?pvs=21)
Daily commute this week,"July 10, 2026",2000,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Friday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-2000,2,
Milk and overtine refill,"July 7, 2026",4000,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),Expense,Outflow,28,Tuesday,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2026,Q3 2026,-4000,4,
