Description,Accounts,Amount,Budget Line Items,Cashflow,Categories,Date,Day,Direction,Month,Portion,Quarters,Tasks,Type,Week,Year
Transport Lbe-Dla,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),6000,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-6000,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,6,Q3 2026,,Expense,28,2026
New traveling box purchase,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),15000,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-15000,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,15,Q3 2026,,Expense,28,2026
Biscuit for kids,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),3500,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-3500,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,3.5,Q3 2026,,Expense,28,2026
Snugfeet gift,MTN MoMO (https://app.notion.com/p/MTN-MoMO-3917e487e9d4808297bde4ea1b7d3d3c?pvs=21),12000,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-12000,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,12,Q3 2026,,Expense,28,2026
Beer for kigali,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),12000,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-12000,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,12,Q3 2026,,Expense,28,2026
Limbe gas refill,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),6500,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-6500,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 8, 2026",Wednesday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,6.5,Q3 2026,,Expense,28,2026
Bike runz to chantier,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),2500,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-2500,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2.5,Q3 2026,,Expense,28,2026
AIMS hotel expense refund,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),30000,AIMS refund (https://app.notion.com/p/AIMS-refund-39a7e487e9d48035bac5d101674c5c6d?pvs=21),30000,Bonuses (https://app.notion.com/p/Bonuses-3917e487e9d480f4bb08ffb257859f59?pvs=21),"July 9, 2026",Thursday,Inflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,100,Q3 2026,Untitled (https://app.notion.com/p/39c7e487e9d48190bec8e3f87376e32a?pvs=21),Income,28,2026
Daily commute this week,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),2000,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-2000,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 10, 2026",Friday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,2,Q3 2026,,Expense,28,2026
Milk and overtine refill,Leader Bag (https://app.notion.com/p/Leader-Bag-3917e487e9d480cba6e0e0292c4f4ea7?pvs=21),4000,Self Care (https://app.notion.com/p/Self-Care-39a7e487e9d480309ed9d450c5c79211?pvs=21),-4000,Allowances (https://app.notion.com/p/Allowances-3917e487e9d480e4a85dd412822d6096?pvs=21),"July 7, 2026",Tuesday,Outflow,https://app.notion.com/3917e487e9d480869968cb06b4db337b,4,Q3 2026,,Expense,28,2026
